source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections	evidences
GO:BP	GO:0014706	striated muscle tissue development	5.556217777300966e-06	True	"""The process whose specific outcome is the progression of a striated muscle over time, from its formation to the mature structure. Striated muscle contain fibers that are divided by transverse bands into striations, and cardiac and skeletal muscle are types of striated muscle. Skeletal muscle myoblasts fuse to form myotubes and eventually multinucleated muscle fibers. The fusion of cardiac cells is very rare and can only form binucleate cells."" [CL:0000737, GOC:dph, GOC:mtg_muscle]"	239	22	7	21110	0.3181818181818182	0.029288702928870293	PoGs	['GO:0060537']	['ENSG00000112276', 'ENSG00000160789', 'ENSG00000178209', 'ENSG00000163069', 'ENSG00000170624', 'ENSG00000102683', 'ENSG00000173991']	[['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IBA', 'IEA'], ['IBA'], ['IMP', 'IBA']]
GO:BP	GO:0035051	cardiocyte differentiation	1.0667943778991556e-05	True	"""The process in which a relatively unspecialized cell acquires the specialized structural and/or functional features of a cell that will form part of the cardiac organ of an individual."" [GOC:bf]"	144	22	6	21110	0.2727272727272727	0.041666666666666664	PoGs	['GO:0007507', 'GO:0030154']	['ENSG00000112276', 'ENSG00000160789', 'ENSG00000178209', 'ENSG00000163069', 'ENSG00000170624', 'ENSG00000173991']	[['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IMP', 'IBA']]
GO:BP	GO:0035268	protein mannosylation	1.1016574809728897e-05	True	"""The addition of a mannose residue to a protein acceptor molecule."" [GOC:bf, GOC:pr]"	22	22	4	21110	0.18181818181818182	0.18181818181818182	PoGs	['GO:0006486', 'GO:0097502']	['ENSG00000181027', 'ENSG00000106692', 'ENSG00000130714', 'ENSG00000009830']	[['IMP', 'IBA'], ['IMP'], ['IMP', 'IEA'], ['IMP', 'IBA', 'IEA']]
GO:BP	GO:0006493	protein O-linked glycosylation	5.707257570014799e-05	True	"""A protein glycosylation process in which a carbohydrate or carbohydrate derivative unit is added to a protein via the hydroxyl group of peptidyl-serine, peptidyl-threonine, peptidyl-hydroxylysine, or peptidyl-hydroxyproline, or via the phenol group of peptidyl-tyrosine, forming an O-glycan."" [GOC:pr, ISBN:0879695595, RESID:AA0153, RESID:AA0154, RESID:AA0155, RESID:AA0157, RESID:AA0212]"	91	22	5	21110	0.22727272727272727	0.054945054945054944	PoGs	['GO:0006486']	['ENSG00000181027', 'ENSG00000106692', 'ENSG00000085998', 'ENSG00000130714', 'ENSG00000009830']	[['IMP', 'IBA'], ['IMP'], ['IDA', 'IMP', 'IBA', 'TAS', 'IEA'], ['IMP', 'TAS', 'IEA'], ['IMP', 'IBA', 'IEA']]
GO:BP	GO:0097502	mannosylation	7.815874654073305e-05	True	"""The covalent attachment of a mannose residue to a substrate molecule."" [GOC:cjm]"	35	22	4	21110	0.18181818181818182	0.11428571428571428	PoGs	['GO:0070085']	['ENSG00000181027', 'ENSG00000106692', 'ENSG00000130714', 'ENSG00000009830']	[['IMP', 'IBA'], ['IMP'], ['IMP', 'IEA'], ['IMP', 'IBA', 'IEA']]
GO:BP	GO:0007507	heart development	0.00014592346670347307	True	"""The process whose specific outcome is the progression of the heart over time, from its formation to the mature structure. The heart is a hollow, muscular organ, which, by contracting rhythmically, keeps up the circulation of the blood."" [GOC:jid, UBERON:0000948]"	594	22	8	21110	0.36363636363636365	0.013468013468013467	PoGs	['GO:0048513', 'GO:0072359']	['ENSG00000112276', 'ENSG00000171298', 'ENSG00000160789', 'ENSG00000178209', 'ENSG00000163069', 'ENSG00000170624', 'ENSG00000102683', 'ENSG00000173991']	[['IMP', 'IBA', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IBA', 'IEA'], ['IBA'], ['IMP', 'IBA', 'IEA']]
GO:BP	GO:0006486	protein glycosylation	0.0001654640296012153	True	"""A protein modification process that results in the addition of a carbohydrate or carbohydrate derivative unit to a protein amino acid, e.g. the addition of glycan chains to proteins."" [GOC:curators, GOC:pr]"	228	22	6	21110	0.2727272727272727	0.02631578947368421	PoGs	['GO:0009101', 'GO:0036211', 'GO:0043413']	['ENSG00000181027', 'ENSG00000106692', 'ENSG00000173540', 'ENSG00000085998', 'ENSG00000130714', 'ENSG00000009830']	[['IMP', 'IBA', 'IEA'], ['IMP', 'IBA', 'NAS', 'IEA'], ['IBA'], ['IDA', 'IMP', 'IBA', 'TAS', 'IEA'], ['IMP', 'TAS', 'IEA'], ['IMP', 'IBA', 'IEA']]
GO:BP	GO:0043413	macromolecule glycosylation	0.0001654640296012153	True	"""The covalent attachment of a glycosyl residue to one or more monomeric units in a polypeptide, polynucleotide, polysaccharide, or other biological macromolecule."" [GOC:jl]"	228	22	6	21110	0.2727272727272727	0.02631578947368421	PoGs	['GO:0043412', 'GO:0070085']	['ENSG00000181027', 'ENSG00000106692', 'ENSG00000173540', 'ENSG00000085998', 'ENSG00000130714', 'ENSG00000009830']	[['IMP', 'IBA', 'IEA'], ['IMP', 'IBA', 'NAS', 'IEA'], ['IBA'], ['IDA', 'IMP', 'IBA', 'TAS', 'IEA'], ['IMP', 'TAS', 'IEA'], ['IMP', 'IBA', 'IEA']]
GO:BP	GO:0060537	muscle tissue development	0.00022643973134488005	True	"""The progression of muscle tissue over time, from its initial formation to its mature state. Muscle tissue is a contractile tissue made up of actin and myosin fibers."" [GOC:dph]"	410	22	7	21110	0.3181818181818182	0.01707317073170732	PoGs	['GO:0009888']	['ENSG00000112276', 'ENSG00000160789', 'ENSG00000178209', 'ENSG00000163069', 'ENSG00000170624', 'ENSG00000102683', 'ENSG00000173991']	[['IMP', 'IBA', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IBA', 'IEA'], ['IBA'], ['IMP', 'IBA']]
GO:BP	GO:0070085	glycosylation	0.0002655279595808952	True	"""The covalent attachment and further modification of carbohydrate residues to a substrate molecule."" [GOC:hjd, GOC:mah]"	247	22	6	21110	0.2727272727272727	0.024291497975708502	PoGs	['GO:0008152']	['ENSG00000181027', 'ENSG00000106692', 'ENSG00000173540', 'ENSG00000085998', 'ENSG00000130714', 'ENSG00000009830']	[['IMP', 'IBA', 'IEA'], ['IMP', 'IBA', 'NAS', 'IEA'], ['IBA'], ['IDA', 'IMP', 'IBA', 'TAS', 'IEA'], ['IMP', 'TAS', 'IEA'], ['IMP', 'IBA', 'IEA']]
GO:BP	GO:0060049	regulation of protein glycosylation	0.0004811428960067244	True	"""Any process that modulates the frequency, rate or extent of protein glycosylation. Protein glycosylation is the addition of a carbohydrate or carbohydrate derivative unit to a protein amino acid, e.g. the addition of glycan chains to proteins."" [GOC:dms, GOC:dph, GOC:pr]"	13	22	3	21110	0.13636363636363635	0.23076923076923078	PoGs	['GO:0006486', 'GO:0010559', 'GO:0031399']	['ENSG00000106692', 'ENSG00000130714', 'ENSG00000009830']	[['NAS'], ['IEA'], ['IEA']]
GO:BP	GO:0009101	glycoprotein biosynthetic process	0.0010868030804616396	True	"""The chemical reactions and pathways resulting in the formation of glycoproteins, a protein that contains covalently bound glycose (i.e. monosaccharide) residues; the glycose occurs most commonly as oligosaccharide or fairly small polysaccharide but occasionally as monosaccharide."" [GOC:go_curators, ISBN:0198506732]"	314	22	6	21110	0.2727272727272727	0.01910828025477707	PoGs	['GO:0009059', 'GO:0009100', 'GO:1901137', 'GO:1901566']	['ENSG00000181027', 'ENSG00000106692', 'ENSG00000173540', 'ENSG00000085998', 'ENSG00000130714', 'ENSG00000009830']	[['IMP', 'IBA', 'IEA'], ['IMP', 'IBA', 'NAS', 'IEA'], ['IBA'], ['IDA', 'IMP', 'IBA', 'TAS', 'IEA'], ['IMP', 'TAS', 'IEA'], ['IMP', 'IBA', 'IEA']]
GO:BP	GO:0072359	circulatory system development	0.0015103070360878597	True	"""The process whose specific outcome is the progression of the circulatory system over time, from its formation to the mature structure. The circulatory system is the organ system that passes nutrients (such as amino acids and electrolytes), gases, hormones, blood cells, etc. to and from cells in the body to help fight diseases and help stabilize body temperature and pH to maintain homeostasis."" [GOC:mah, UBERON:0001009]"	1123	22	9	21110	0.4090909090909091	0.008014247551202136	PoGs	['GO:0048731']	['ENSG00000112276', 'ENSG00000173402', 'ENSG00000171298', 'ENSG00000160789', 'ENSG00000178209', 'ENSG00000163069', 'ENSG00000170624', 'ENSG00000102683', 'ENSG00000173991']	[['IMP', 'IBA', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IBA', 'IEA'], ['IBA'], ['IMP', 'IBA', 'IEA']]
GO:BP	GO:0046716	muscle cell cellular homeostasis	0.0038381029265423397	True	"""The cellular homeostatic process that preserves a muscle cell in a stable functional or structural state."" [GOC:mah, PMID:3091429, PMID:7781901]"	25	22	3	21110	0.13636363636363635	0.12	PoGs	['GO:0019725']	['ENSG00000092529', 'ENSG00000171298', 'ENSG00000119401']	[['TAS'], ['IEA'], ['IEA']]
GO:BP	GO:0009100	glycoprotein metabolic process	0.004005214353680888	True	"""The chemical reactions and pathways involving glycoproteins, a protein that contains covalently bound glycose (i.e. monosaccharide) residues; the glycose occurs most commonly as oligosaccharide or fairly small polysaccharide but occasionally as monosaccharide."" [GOC:go_curators, ISBN:0198506732]"	393	22	6	21110	0.2727272727272727	0.015267175572519083	PoGs	['GO:0019538', 'GO:1901135']	['ENSG00000181027', 'ENSG00000106692', 'ENSG00000173540', 'ENSG00000085998', 'ENSG00000130714', 'ENSG00000009830']	[['IMP', 'IBA', 'IEA'], ['IMP', 'IBA', 'NAS', 'IEA'], ['IBA'], ['IDA', 'IMP', 'IBA', 'TAS', 'IEA'], ['IMP', 'TAS', 'IEA'], ['IMP', 'IBA', 'IEA']]
GO:BP	GO:1904100	positive regulation of protein O-linked glycosylation	0.0053592612113673105	True	"""Any process that activates or increases the frequency, rate or extent of protein O-linked glycosylation."" [GO_REF:0000058, GOC:TermGenie, PMID:24509081]"	3	22	2	21110	0.09090909090909091	0.6666666666666666	PoGs	['GO:0006493', 'GO:0060050', 'GO:1904098']	['ENSG00000130714', 'ENSG00000009830']	[['IEA'], ['IEA']]
GO:BP	GO:1904098	regulation of protein O-linked glycosylation	0.0053592612113673105	True	"""Any process that modulates the frequency, rate or extent of protein O-linked glycosylation."" [GO_REF:0000058, GOC:TermGenie, PMID:24509081]"	3	22	2	21110	0.09090909090909091	0.6666666666666666	PoGs	['GO:0006493', 'GO:0060049']	['ENSG00000130714', 'ENSG00000009830']	[['IEA'], ['IEA']]
GO:BP	GO:0003012	muscle system process	0.006376810369450533	True	"""A organ system process carried out at the level of a muscle. Muscle tissue is composed of contractile cells or fibers."" [GOC:mtg_cardio]"	426	22	6	21110	0.2727272727272727	0.014084507042253521	PoGs	['GO:0003008']	['ENSG00000173402', 'ENSG00000171298', 'ENSG00000160789', 'ENSG00000108823', 'ENSG00000170624', 'ENSG00000173991']	[['IEA'], ['IMP', 'IEA'], ['ISS', 'IEA'], ['TAS', 'IEA'], ['IEA'], ['IMP', 'IEP', 'IBA']]
GO:BP	GO:0043500	muscle adaptation	0.006802421712524642	True	"""A process in which muscle adapts, with consequent modifications to structural and/or functional phenotypes, in response to a stimulus. Stimuli include contractile activity, loading conditions, substrate supply, and environmental factors. These adaptive events occur in both muscle fibers and associated structures (motoneurons and capillaries), and they involve alterations in regulatory mechanisms, contractile properties and metabolic capacities."" [GOC:mtg_muscle, PMID:11181628, PMID:11449884, PMID:12605307]"	105	22	4	21110	0.18181818181818182	0.0380952380952381	PoGs	['GO:0003012', 'GO:0050896']	['ENSG00000173402', 'ENSG00000160789', 'ENSG00000108823', 'ENSG00000173991']	[['IEA'], ['ISS', 'IEA'], ['IEA'], ['IMP']]
GO:BP	GO:0060047	heart contraction	0.007355059711589413	True	"""The multicellular organismal process in which the heart decreases in volume in a characteristic way to propel blood through the body."" [GOC:dph]"	242	22	5	21110	0.22727272727272727	0.02066115702479339	PoGs	['GO:0003015', 'GO:0008015']	['ENSG00000112276', 'ENSG00000171298', 'ENSG00000170624', 'ENSG00000102683', 'ENSG00000173991']	[['IEA'], ['IMP', 'IEA'], ['IBA', 'IEA'], ['IBA'], ['IMP', 'IBA']]
GO:BP	GO:0003015	heart process	0.009311485556149324	True	"""A circulatory system process carried out by the heart. The heart is a hollow, muscular organ, which, by contracting rhythmically, keeps up the circulation of the blood. The heart is a hollow, muscular organ, which, by contracting rhythmically, keeps up the circulation of the blood."" [GOC:mtg_cardio]"	254	22	5	21110	0.22727272727272727	0.01968503937007874	PoGs	['GO:0003013']	['ENSG00000112276', 'ENSG00000171298', 'ENSG00000170624', 'ENSG00000102683', 'ENSG00000173991']	[['IEA'], ['IMP', 'IEA'], ['IBA', 'IEA'], ['IBA'], ['IMP', 'IBA']]
GO:BP	GO:0010927	cellular component assembly involved in morphogenesis	0.013177625754322542	True	"""The cellular component assembly that is part of the initial shaping of the component during its developmental progression."" [GOC:dph, GOC:tb]"	124	22	4	21110	0.18181818181818182	0.03225806451612903	PoGs	['GO:0022607', 'GO:0032989', 'GO:0048646']	['ENSG00000092529', 'ENSG00000173402', 'ENSG00000178209', 'ENSG00000173991']	[['ISS', 'TAS', 'IEA'], ['IMP'], ['IEA'], ['IMP', 'IBA', 'TAS']]
GO:BP	GO:0043403	skeletal muscle tissue regeneration	0.017597627549532514	True	"""The regrowth of skeletal muscle tissue to repair injured or damaged muscle fibers in the postnatal stage."" [GOC:ef, GOC:mtg_muscle, PMID:12021255, PMID:16607119]"	41	22	3	21110	0.13636363636363635	0.07317073170731707	PoGs	['GO:0042246']	['ENSG00000092529', 'ENSG00000173402', 'ENSG00000108823']	[['ISS', 'IEA'], ['IEA'], ['IEA']]
GO:BP	GO:0008015	blood circulation	0.018475177976669404	True	"""The flow of blood through the body of an animal, enabling the transport of nutrients to the tissues and the removal of waste products."" [GOC:mtg_heart, ISBN:0192800825]"	513	22	6	21110	0.2727272727272727	0.011695906432748537	PoGs	['GO:0003013']	['ENSG00000112276', 'ENSG00000171298', 'ENSG00000178209', 'ENSG00000170624', 'ENSG00000102683', 'ENSG00000173991']	[['IEA'], ['IMP', 'IEA'], ['IEA'], ['IBA', 'IEA'], ['IBA'], ['IMP', 'IBA']]
GO:BP	GO:0010559	regulation of glycoprotein biosynthetic process	0.02034514672114693	True	"""Any process that modulates the rate, frequency, or extent of the chemical reactions and pathways resulting in the formation of a glycoprotein, a protein that contains covalently bound glycose (i.e. monosaccharide) residues; the glycose occurs most commonly as oligosaccharide or fairly small polysaccharide but occasionally as monosaccharide."" [GOC:dph, GOC:tb]"	43	22	3	21110	0.13636363636363635	0.06976744186046512	PoGs	['GO:0009101', 'GO:0010556', 'GO:1903018']	['ENSG00000106692', 'ENSG00000130714', 'ENSG00000009830']	[['NAS'], ['IEA'], ['IEA']]
GO:BP	GO:0045214	sarcomere organization	0.021819079651251582	True	"""The myofibril assembly process that results in the organization of muscle actomyosin into sarcomeres. The sarcomere is the repeating unit of a myofibril in a muscle cell, composed of an array of overlapping thick and thin filaments between two adjacent Z discs."" [GOC:bf]"	44	22	3	21110	0.13636363636363635	0.06818181818181818	PoGs	['GO:0030239', 'GO:0031032']	['ENSG00000092529', 'ENSG00000178209', 'ENSG00000173991']	[['ISS', 'IEA'], ['IEA'], ['IMP', 'TAS']]
GO:BP	GO:1903018	regulation of glycoprotein metabolic process	0.028417775680319533	True	"""Any process that modulates the frequency, rate or extent of glycoprotein metabolic process."" [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:23544079]"	48	22	3	21110	0.13636363636363635	0.0625	PoGs	['GO:0009100', 'GO:0051246']	['ENSG00000106692', 'ENSG00000130714', 'ENSG00000009830']	[['NAS'], ['IEA'], ['IEA']]
GO:BP	GO:0048513	animal organ development	0.02852046189229487	True	"""Development of a tissue or tissues that work together to perform a specific function or functions. Development pertains to the process whose specific outcome is the progression of a structure over time, from its formation to the mature structure. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."" [GOC:dph, GOC:jid]"	3128	22	12	21110	0.5454545454545454	0.0038363171355498722	PoGs	['GO:0048856']	['ENSG00000112276', 'ENSG00000092529', 'ENSG00000173402', 'ENSG00000106692', 'ENSG00000171298', 'ENSG00000160789', 'ENSG00000178209', 'ENSG00000108823', 'ENSG00000163069', 'ENSG00000170624', 'ENSG00000102683', 'ENSG00000173991']	[['IMP', 'IBA', 'NAS', 'IEA'], ['TAS'], ['IMP', 'IBA', 'IEA'], ['TAS'], ['IEA'], ['IMP', 'IEA'], ['IEA'], ['TAS'], ['TAS', 'IEA'], ['IBA', 'TAS', 'IEA'], ['IBA', 'TAS'], ['IMP', 'IBA', 'IEA']]
GO:BP	GO:0003013	circulatory system process	0.044425678742771514	True	"""A organ system process carried out by any of the organs or tissues of the circulatory system. The circulatory system is an organ system that moves extracellular fluids to and from tissue within a multicellular organism."" [GOC:mtg_cardio]"	599	22	6	21110	0.2727272727272727	0.01001669449081803	PoGs	['GO:0003008']	['ENSG00000112276', 'ENSG00000171298', 'ENSG00000178209', 'ENSG00000170624', 'ENSG00000102683', 'ENSG00000173991']	[['IEA'], ['IMP', 'IEA'], ['IEA'], ['IBA', 'IEA'], ['IBA'], ['IMP', 'IBA']]
GO:BP	GO:0060050	positive regulation of protein glycosylation	0.04986201088116929	True	"""Any process that activates or increases the frequency, rate or extent of the glycosylation of one or more amino acid residues within a protein. Protein glycosylation is the addition of a carbohydrate or carbohydrate derivative unit to a protein amino acid, e.g. the addition of glycan chains to proteins."" [GOC:dms, GOC:dph, GOC:pr]"	8	22	2	21110	0.09090909090909091	0.25	PoGs	['GO:0006486', 'GO:0010560', 'GO:0031401', 'GO:0060049']	['ENSG00000130714', 'ENSG00000009830']	[['IEA'], ['IEA']]
